"","ld","smd","stlogoddse"
"visit",-7.27995831494472e-05,-0.0341327444441023,-0.107661531332896
"muslim",-0.000518914382728422,-0.311143483864626,-2.20603655121272
"union",-0.000179563445244756,-0.10568329975111,-0.397225212202935
"remain",-0.000402408577153002,-0.144546742582304,-0.326972972006328
"soviet",-0.000145536044609769,-0.144990794291637,-1.23435875237377
"south",0.000365021559531207,0.409700316070885,1.38628838030671
"defens",-0.000201994077396212,-0.0946203829098364,-0.278484759483633
"chines",-0.000374043639987124,-0.263995646541181,-2.28522467581388
"home",-3.62262660778579e-05,-0.0169744530310613,-0.0647349988388978
"troop",0.000121031976125298,0.0730211854423148,0.188954271511565
"serbian",-0.000435278491723554,-0.294050670743643,-3.12357393898445
"plan",-0.000113139770943629,-0.0504850805349618,-0.147536270778077
"ethnic",0.000144714479413683,0.101789624445288,0.309903662160778
"ms",9.54232019413665e-05,0.0830243064870966,0.313451500427265
"campaign",-8.05206148851454e-05,-0.0371963480439125,-0.117568881109993
"diplomat",1.57235179109469e-05,0.00803400748570589,-2.56233445783781e-05
"question",-0.00027314254813866,-0.112801261431653,-0.308054212503738
"villag",2.00892097792879e-05,0.013730073559717,0.0281729362405569
"murder",-7.15160215502365e-05,-0.0320031360459685,-0.103561297588307
"council",0.000171991285404028,0.115440348760665,0.346662492733931
"show",-0.000326834444362567,-0.125702786748085,-0.324860187204717
"democrat",-0.000143634977272826,-0.0616589831596606,-0.178989618266679
"involv",-0.000246835208281921,-0.0890814175196616,-0.216509802755462
"act",5.35808579383653e-05,0.026358250751228,0.0486085721469928
"action",-0.000498874026751762,-0.18198558331994,-0.469560323117135
"prosecut",0.000264042463009462,0.144525366948669,0.359907021292004
"held",-1.70580956531696e-05,-0.00633569643139287,-0.0354112051326683
"western",1.97646850588203e-05,0.00916018145678246,0.00185713351996244
"document",-0.000187080290272223,-0.102722359144109,-0.395262720373767
"legal",-9.52473914257216e-05,-0.0455460141251653,-0.152829996358325
"children",0.00029047376532685,0.205797320619121,0.624451275900519
"secretari",5.98958242193268e-05,0.0256871527634911,0.0398034827127904
"bosnia",-0.000488540228013319,-0.270810303215847,-1.64566104462883
"bosnian",-0.000521176801578631,-0.301389398275426,-2.65792370535924
"thousand",0.00039518004708852,0.160201079577526,0.308049647969032
"sentenc",-9.22344754525366e-05,-0.0466379808987909,-0.167214761024949
"region",0.000267842226865354,0.133073703685655,0.315177976171793
"control",0.00011920744412514,0.0485977999410341,0.0895716098863783
"citi",-0.000203359128820556,-0.0981475948303347,-0.339578274283428
"return",0.000120019830053963,0.0520328440520338,0.104617675214039
"statement",-0.00014276291257393,-0.0580427137637912,-0.169985760689745
"refuge",0.000107526447740186,0.136839085403361,0.748563944792608
"talk",-0.000334902820713103,-0.131047048229563,-0.378551480346735
"ago",-3.50968463242269e-05,-0.0116141586545477,-0.0451618723003971
"camp",5.18649973842385e-05,0.0405989823838601,0.157314625436078
"darfur",-0.000220395367613418,-0.186869691484232,-2.18439438382103
