"","ld","smd","stlogoddse"
"yield",-0.000159210335520264,-0.0151719918662903,-0.0484972077013274
"infant",-0.000623989285736853,-0.0743121488099496,-0.56193864210616
"preliminari",-0.000526597897738778,-0.0520660564559633,-0.278238405833666
"restaur",0.000658498233734725,0.0807185366995924,0.495120870431094
"length",0.000536308088312612,0.0515674435240777,0.279835927649942
"coca",-0.000756209808955473,-0.110066223581626,-1.56442589217363
"bodyguard",0.000563173841170967,0.0698378626814979,0.443523983878694
"mood",0.000777691108652816,0.0877201851900241,0.495120870431094
"nice",0.000718925694109706,0.107467435320643,0.737006053996289
"sentiment",-0.000450362729311186,-0.0407095291867898,-0.184404101738277
"au",-0.00164481970405624,-0.174383824960084,-2.53167496925472
"smoke",-0.000117668458719577,-0.0119410903013992,-0.0355551218658199
"greec",0.000736804034122792,0.153806801690536,1.30336594902498
"castano",-0.000356932682120583,-0.0812344430109603,-2.53167496925472
"baker",-4.46518944811604e-05,-0.00735586745382728,-0.0355551218658199
"pre",-0.000141067692484124,-0.0130745795369288,-0.0355551218658199
"orthodox",0.00131300479974015,0.284681228082096,2.51472380139335
"ukrain",0.000310145048222294,0.125294554732728,1.98404780599044
"airlin",-0.000176577487112881,-0.0207816405282334,-0.107874477179602
"inflat",-0.000819457339564302,-0.0898423176040487,-0.663304208753061
"item",1.9868001203779e-06,0.000210187102820512,0.0331284536606041
"outskirt",0.000134963201924614,0.013021112149005,0.0986474829016249
"teen",-0.000105009827315813,-0.0112805148687521,-0.0355551218658199
"terrifi",0.00107881739037793,0.126489024728353,0.690410777216837
"grozni",0.000787448058807767,0.247460429236711,4.40350000059582
"downtown",-0.0007558950439469,-0.0681701434436209,-0.353122209797471
"abe",-0.000521955307636379,-0.0982344252267875,-2.53167496925472
"rapid",-0.000112025183087077,-0.0116512301568086,-0.0355551218658199
"cigarett",-0.000370315542723576,-0.0357217070459479,-0.171653747969869
"empir",0.000724949438482817,0.104503919667283,0.70680409979504
"shirt",-0.00073272086073392,-0.0658271902750841,-0.340738766876454
"assail",-0.00113395241320784,-0.0974920969131338,-0.538030547697677
"brodi",-0.00143895512237593,-0.150716561101963,-1.55332071072666
"X65",0.00028817634764715,0.0280193545118649,0.17516403296919
"X1974",-0.00185532937156332,-0.157192079783837,-1.09105443682262
"accur",-0.000106133731358221,-0.0101869394189324,-0.0224154492128486
"fashion",0.0006379309924893,0.0640281238622864,0.350517227583956
"chronicl",0.000813785001645023,0.106090092981871,0.659110431832673
"exempt",-0.000665696152878486,-0.062744268983688,-0.340738766876454
"flood",2.83553588327172e-05,0.00269563482446003,0.0464718402167015
"grievanc",-9.02761985260158e-05,-0.00939514827111039,-0.0224154492128486
"pour",0.000447358143239769,0.04208085617348,0.235690726242373
