"","ld","smd","stlogoddse"
"partial",-0.000635097129057624,-0.0552690249262501,-0.276683659257437
"descent",0.000481501294106523,0.0535050184980594,0.35360303222517
"dulaimi",0.000427386335138567,0.150504072245053,4.25740620497416
"deliveri",-0.000243650964945522,-0.0227325258596481,-0.0965314331831177
"poet",-0.000576749052652492,-0.0526690121445147,-0.276683659257437
"bold",0.000901838181528408,0.101052908836353,0.61411466606307
"a16",0.000700565540374568,0.0836109526170194,0.550662045519582
"plain",0.000587318505588227,0.059092536446469,0.35360303222517
"somali",-0.00068848026882972,-0.0989476537125446,-1.25450305792187
"forbid",0.000679360822228512,0.0635544607647455,0.35360303222517
"embark",-0.000644709838926473,-0.0536549482901104,-0.257291620734801
"plung",0.000254316533341506,0.0239566402856812,0.163037340555769
"perpetu",0.000266176398071415,0.0245088755360298,0.163037340555769
"paulo",-0.0010420919186851,-0.13661377002296,-2.45627668473658
"alongsid",0.000546522536783116,0.0519889518069944,0.307996071152566
"tenet",0.000222046175197265,0.0331381814755659,0.307996071152566
"indirectli",-0.000225670324700327,-0.0200226913892541,-0.0762047835678288
"cafe",0.000210604162060716,0.0275393012649636,0.236670376343321
"roy",-0.000281032911554747,-0.0488710808381958,-0.582796882394065
"banja",-0.00183304820457602,-0.181187572037895,-2.45627668473658
"cultiv",6.66050138559373e-05,0.00779513069680139,0.086687318051875
"bilater",-0.000319571630160695,-0.0315810404912219,-0.164048364413305
"landscap",0.000339763573543424,0.0349790370997492,0.236670376343321
"consent",-0.0010144760475648,-0.0928526389797141,-0.582796882394065
"cow",7.32073848636515e-05,0.00817235805782535,0.086687318051875
"taint",0.000748545312676691,0.0755954478608417,0.445083953744566
"manual",0.000314111686924011,0.0888137984023352,1.27393991316624
"javier",-0.00194284368759851,-0.147429285190958,-0.861356634035764
"anthoni",0.00128875737363578,0.122624292157807,0.640894954086239
"classic",-0.000777526693353309,-0.0672104449401387,-0.357078495977478
"exodu",-0.000889576987182789,-0.0797758621626678,-0.464906895385552
"ambit",0.00143372616341235,0.143468451096991,0.767484850161247
"efrain",-0.00361801525895564,-0.254552085488212,-2.45627668473658
"lethal",0.00132783948317799,0.131445336577662,0.704453867422286
"xinjiang",-0.000577777432668539,-0.0850917510490587,-1.03253716694937
"coffin",-0.000170140341336642,-0.0230433690514775,-0.164048364413305
"bother",0.000900567552417646,0.0899221913226049,0.511421049939342
"besieg",-0.00177171643734543,-0.140786799666198,-0.861356634035764
"X1972",-0.000756273560241708,-0.0662855059175924,-0.357078495977478
"mullah",0.00119283053683276,0.249052580623657,4.24163765049537
"peak",-0.000224967591720179,-0.0199914919468921,-0.0762047835678288
"ouster",0.000406603531636281,0.0382652905607237,0.236670376343321
"outright",-0.000406505089232365,-0.0356184748150239,-0.164048364413305
"warm",0.000489033651541752,0.0554617032709462,0.37736547650957
"blockad",-0.00032714373084442,-0.038220550035283,-0.257291620734801
"mad",-0.000189395827772045,-0.018343002723328,-0.0762047835678288
"X58",-0.000242826345333953,-0.020769838924998,-0.0762047835678288
"restrain",0.00039826668631106,0.0378709703074841,0.236670376343321
"rough",0.000474449085104342,0.05462841968464,0.37736547650957
"bolivian",-0.000612568631422517,-0.104741512068934,-2.45627668473658
"bureaucraci",-0.000320378332060315,-0.031620875735494,-0.164048364413305
"defer",0.000915330469965101,0.0906562381919011,0.511421049939342
"unilater",-0.000178794255659526,-0.017822228500944,-0.0762047835678288
"dili",-0.000968926246814265,-0.131730646314412,-2.45627668473658
"videla",-0.00061489962423763,-0.0956420076480281,-1.48045703548333
"shaken",0.000597575423763167,0.0629645642502452,0.401816762339114
"tajikistan",-0.000242873171806137,-0.0445020224497773,-0.564257280957342
"X140",0.000459854536807947,0.0425954949324032,0.259781731112484
"miseri",0.000819446777592987,0.0808590619110249,0.47026521489028
"baltasar",-0.00375794953077875,-0.25692144162024,-2.44020909887345
"abet",-8.38448015582193e-06,-0.000857484741667343,0.0284907736434536
"delhi",-0.00161163767156763,-0.161684301961101,-1.83916728338652
"magnitud",-1.07137093899505e-05,-0.000969300108149017,0.0284907736434536
"disgrac",0.000791343475689922,0.0724573341026755,0.401816762339114
"crude",0.000423270850322534,0.0408660452377725,0.259781731112484
"proven",-0.000193258227152497,-0.0166363076273107,-0.0553762080675196
"cellphon",0.000721465040144111,0.075871027982027,0.47026521489028
"strife",-0.000183469230870276,-0.0162094980680067,-0.0553762080675196
"ki",0.00165154026218995,0.162786346673401,0.860845033232018
"sinhales",-0.000680578624822191,-0.109336213909325,-2.44020909887345
"align",0.000740075384764249,0.070070919721099,0.401816762339114
"absent",0.000156926062222863,0.0140432102737632,0.108597980198293
"thatcher",-0.00102585005213631,-0.128995955348354,-1.83916728338652
"hell",0.00074649326433117,0.0771758229815879,0.47026521489028
"laurent",-0.00196214497339563,-0.154639809088856,-1.01514438611704
"hernandez",-0.00103873168430983,-0.135075495126537,-2.44020909887345
"anaya",-0.000614379530784915,-0.103882704494427,-2.44020909887345
"bind",-0.000188541247793125,-0.0164320268282101,-0.0553762080675196
"incorpor",-9.64987514782768e-06,-0.000919918128479989,0.0284907736434536
"X57",-0.00130527038897018,-0.103166861575893,-0.564257280957342
"X63",-0.00156995810554484,-0.122116268602433,-0.695430793293122
"X66",-0.000569935977991138,-0.0484630665714492,-0.237443273613103
"sky",-0.000453624544047251,-0.0432360616068934,-0.237443273613103
"falun",-0.000727071631816536,-0.104000438434121,-1.48045703548333
"mengistu",-0.000598085844404834,-0.0984953919200574,-1.83916728338652
"sincer",-0.00161958632314161,-0.124031370955444,-0.695430793293122
"lowest",-0.000516919732619221,-0.0461540068477604,-0.237443273613103
"honest",-0.00019821728438838,-0.0168484016755202,-0.0553762080675196
"villa",-0.00174222167916231,-0.137444203479837,-0.843597677193975
"switch",-0.000705029511709702,-0.0620744012342159,-0.337686457454842
"bia",0.000235260871437054,0.024737507471324,0.185532336930632
"bitterli",-0.000619712737816026,-0.0505350926311126,-0.237443273613103
"disregard",0.000341314738658576,0.0297960441348939,0.185532336930632
"dismay",-1.18200967128271e-05,-0.00101811971021752,0.0284907736434536
"midnight",0.000258043120789052,0.0259076028255256,0.185532336930632
"spur",-1.18200967128271e-05,-0.00101811971021752,0.0284907736434536
"fax",-0.000802183149605429,-0.08087731850827,-0.564257280957342
"biolog",0.00106948689532212,0.165000064565696,1.31509444630822
"panic",-0.000649708648499554,-0.072786242516964,-0.564257280957342
"divert",-0.000171265988728517,-0.0156611449765129,-0.0553762080675196
"brush",-1.21230328997281e-05,-0.00103108382058164,0.0284907736434536
"unjust",-0.000225307624538395,-0.0234088138824978,-0.122893139297707
"satisfact",-0.000781990853775874,-0.063281307856012,-0.317838110333145
"stadium",-0.00102790448150529,-0.110333460120984,-0.997385429275252
"repeal",-0.000108627259702255,-0.0108698375028775,-0.0340202887395054
"stain",-0.000341368439982183,-0.0288139732098065,-0.122893139297707
"abruptli",-0.000323420257240999,-0.02804626759541,-0.122893139297707
"dissolv",0.000597957416785509,0.0580440627231864,0.35620980126651
"unionist",-0.0016373910395638,-0.139253802535238,-0.997385429275252
"boast",0.000860842303257392,0.0775089123907014,0.426998023484828
"manila",-0.00217416619850025,-0.193495630604215,-2.42382951506917
"camel",0.000840101394853124,0.196511424457141,2.98872329754626
"scientif",-0.000621342787318098,-0.056407940059409,-0.317838110333145
"underlin",-0.00101774542738456,-0.0811176791338144,-0.426558616037779
"ka",0.000109101051022214,0.0324768578213282,0.564157506305792
"climb",3.10061248622905e-05,0.00282131530219107,0.0504014357898716
"strictli",-0.00123151286254342,-0.0980704877616857,-0.545301040132206
"condoleezza",0.00258370809408921,0.283822854792593,1.6542653830209
"economist",-0.00126140834757244,-0.107457670622571,-0.676891191856399
"X350",2.897375671423e-05,0.00272728348822004,0.0504014357898716
"hors",0.0010013990683281,0.117132473933334,0.7626498019119
"sabotag",-0.00229869978330539,-0.174108881739731,-1.20336493644734
"inconsist",0.000202235859931318,0.0179946115426311,0.131092976573156
"pragmat",-0.000499288462509736,-0.0505650422895263,-0.317838110333145
"amput",0.000721576966372285,0.121394825905567,1.0882087520215
"cattl",0.000939817317701018,0.118910877957217,0.827760900194299
"obsess",0.000188961275094754,0.0173940133154966,0.131092976573156
"reservist",0.00171783396346153,0.255159543825363,2.10319647048686
"communiqu",0.000222489267710762,0.0255998412005216,0.208643691699795
"paralyz",0.000650881029395805,0.060558272949242,0.35620980126651
"deposit",-0.000733704784165477,-0.0688742070862502,-0.426558616037779
"proport",3.24597849613149e-05,0.00288669365597915,0.0504014357898716
"pollut",-0.00092712043502236,-0.0986582697775017,-0.825456793053566
"gap",0.000453251268393398,0.0440956726858579,0.283544175396884
"gulag",-0.0010473574833558,-0.0979167616320394,-0.676891191856399
"X84",-0.00182444982467346,-0.146993056463505,-0.997385429275252
"aerial",0.000695469576894715,0.0696672889804056,0.426998023484828
"quest",-0.000156538221690093,-0.013048597580717,-0.0340202887395054
"repair",-0.000341368439982183,-0.0288139732098065,-0.122893139297707
"misconduct",0.00135878138320257,0.161007797488863,1.02270855719712
"merci",0.00170305644404126,0.167070464446831,0.892679179546217
"samuel",-0.00158542539091105,-0.1204709891839,-0.676891191856399
"globe",0.000738193852942324,0.0717753063296362,0.426998023484828
"athlet",-5.30457634137374e-05,-0.00759589568233149,-0.0340202887395054
"volatil",0.00106585251646827,0.101509828561897,0.564157506305792
"acceler",0.000860842303257392,0.0775089123907014,0.426998023484828
"limb",-0.000760461779924408,-0.062404126044829,-0.317838110333145
"gabriel",-0.000665129351121343,-0.0936554069326776,-1.20336493644734
"gunshot",0.000808885908838526,0.0837323516807705,0.52300167125673
"X1915",0.0016783428026533,0.219984108943823,1.55295092155354
"politic",0.000475597012281748,0.0469477628426635,0.307995461226428
"ernesto",-0.00318425317348979,-0.222389894934555,-1.80542194274433
"mario",-0.00260437900066766,-0.192222266380554,-1.44602285329656
