"","ld","smd","stlogoddse"
"cocain",-0.00112607292999143,-0.156988374511363,-1.8014355922826
"cemeteri",-9.25065243135887e-05,-0.0153973244743799,-0.0883123755086138
"motion",-0.000427139221182037,-0.0561971014239032,-0.325076466637586
"X34",-0.00145186731432581,-0.138564658809989,-0.705809074395765
"lebanes",-0.000747561612491131,-0.134207329208383,-2.75252754738837
"counterinsurg",-0.000567712574262154,-0.0638713259544434,-0.316776217678385
"indiscrimin",-0.000678833695312126,-0.0754843465597732,-0.384344594761879
"dispatch",0.000280666052125111,0.0321528922784704,0.165533636364787
"shah",-0.000395756400892975,-0.0689616454828601,-0.615942863895161
"tree",0.000109000059038502,0.0164271754984757,0.119881066786902
"tribal",-9.41447603970521e-05,-0.0183144987947501,-0.134759317360513
"recognit",0.000290735144936714,0.0327245640334482,0.165533636364787
"wood",-0.000252497597638662,-0.0460366623096974,-0.384344594761879
"rage",-0.00114447673175383,-0.110149872977706,-0.524987414478937
"distanc",-0.000436346300220735,-0.0446202842732765,-0.183861604549954
"amid",0.000387638403632257,0.0444578352093262,0.219078054629473
"primari",0.000328373235205165,0.0409184137467764,0.219078054629473
"visibl",-7.76068215779788e-05,-0.00853975902177853,-0.0180817797565383
"kick",-0.000853559164106762,-0.0951255830379169,-0.524987414478937
"successor",0.000378189747541527,0.0439126644444431,0.219078054629473
"artilleri",-0.000906829941061806,-0.103483340711442,-0.607876410409648
"pierr",-0.000548027594029113,-0.102190122390024,-1.33248245915454
"guid",-0.00017567187091379,-0.0194226542991891,-0.0709569118472126
"theater",-0.000916097998886346,-0.114153412198461,-0.796317137409327
"nake",-0.000419479473410025,-0.0666861851672039,-0.524987414478937
"fundamentalist",-0.00111057661991021,-0.14547285735648,-1.33248245915454
"wealth",1.92980808777553e-05,0.00227418097280319,0.0327344554313107
"poison",-0.0012077723448849,-0.131072164385987,-0.796317137409327
"compet",0.000365534138027174,0.0431716736061185,0.219078054629473
"bay",-0.000678159275931756,-0.0745075063013875,-0.376044345802677
"entri",0.000410431495688019,0.055534471936987,0.304075101673389
"guzman",-0.000521401912783329,-0.11159865829917,-2.74515344787786
"seal",-0.000388928085418101,-0.0411561242919257,-0.17522769719414
"laid",-0.000636236035942157,-0.0656327079938652,-0.299931204778585
"kamm",5.24927896526438e-05,0.0765335637775174,4.45573680626049
"flaw",0.00102916063834088,0.138323600737223,0.652404465999636
"congoles",-0.000781376543519478,-0.136021122241858,-2.7377155080396
"fast",-2.68566339268524e-05,-0.00443385130058035,-0.00917947573189401
"sectarian",-0.000764578106491339,-0.107890178490332,-0.897496189018225
"macedonia",-0.000811422146771174,-0.131351665007252,-1.77892576176486
"smile",0.000431980352244189,0.0577557380297804,0.313673639711066
"longtim",-6.36630519372601e-05,-0.00682651519740493,-0.00917947573189401
"specul",-0.000281401222600289,-0.0297604598468392,-0.117403853699111
"abram",-0.000345343226740326,-0.0563231818330712,-0.439706363476634
"echeverria",-0.000489520294630051,-0.107661771004449,-2.7377155080396
"inspect",0.00040130051264748,0.0598620932661206,0.354623573575115
"tomorrow",0.000229207295559937,0.0266509389252888,0.14744694240169
"analysi",-4.24868143031209e-05,-0.00471970167338667,-0.000183958801532998
"nongovernment",0.000116754273545914,0.0190210588199596,0.14744694240169
"anfal",-0.000670175772155598,-0.125417265214439,-2.73021261273759
"businessman",0.000372323943450537,0.0500273752314558,0.28125155684213
"slay",-0.000673228374119179,-0.0777457378288816,-0.431325141379688
"neutral",-0.000797142874075203,-0.0901090804203419,-0.508466339937321
"digniti",0.000624334664175621,0.0803665063887503,0.404519493152473
"duvali",-0.000476799958572608,-0.105786699937893,-2.73021261273759
"X95",-0.00198500806858086,-0.17945943475296,-1.01220313493978
"bloodsh",-0.000278327603307071,-0.0286042116603364,-0.10859285046976
"club",0.000727555777489217,0.100809831229153,0.519591157828451
"inflict",-0.000475716565851916,-0.0504729328630556,-0.227307469281665
"orchestr",-0.00146450129848329,-0.135848034467324,-0.681608291500513
"fraud",-0.000684406095165087,-0.0774764555673178,-0.422861350576835
"montt",-0.000499240401818027,-0.0959274870627154,-1.30915776356684
"fierc",-2.98857391289355e-05,-0.00307595352265636,0.00890674384911671
"vulner",-2.78284255242521e-05,-0.0029681926559728,0.00890674384911671
"primarili",0.00063315028513669,0.0717785776204179,0.333198554382607
"hire",-0.000131202568620053,-0.0141418278350722,-0.0442480876628559
"entitl",-0.00123750503297726,-0.123843423519451,-0.673387465918098
"kelbessa",-3.32361440548919e-05,-0.0278059713378718,-2.72264361736013
